chunk_size,chunk_overlap,chunks_retieved,precision,recall
100,0,1,0.18804248708208862,0.4860342606769807
100,0,2,0.12037304573676512,0.6146652246823159
100,0,3,0.0935501009374996,0.7025233736834215
100,0,5,0.07380797844990286,0.8971490443755519
100,0,10,0.039736881998129275,0.9768257836339352
100,25,1,0.17459848383632381,0.4785830638007413
100,25,2,0.12825281127397006,0.6584403279708636
100,25,3,0.10354941267090044,0.7901063496250876
100,25,5,0.07040761550105427,0.8842576083834712
100,25,10,0.0396493713255201,0.9659682085190388
100,50,1,0.2225358942592518,0.6256375362728198
100,50,2,0.14293302670472083,0.753860570261442
100,50,3,0.10263979833774127,0.7983611656142688
100,50,5,0.06841633045181322,0.8565516735602062
100,50,10,0.039553728338151184,0.9646852508507356
200,0,1,0.1329838006679323,0.6198234503536861
200,0,2,0.0900737352965177,0.8419720923374608
200,0,3,0.062123549989604725,0.8814457765479871
200,0,5,0.03830060579586785,0.9143143090913793
200,0,10,0.020251636661154194,0.9803890773117846
200,50,1,0.13773538984168984,0.7221877717984612
200,50,2,0.08444777847898036,0.8260030970974758
200,50,3,0.06259284081854065,0.9134675699290663
200,50,5,0.03877797392486188,0.9408293946693893
200,50,10,0.02005916283529123,0.9763834948519726
200,100,1,0.14419715704056402,0.7170460515535689
200,100,2,0.08838358169146705,0.8551442240958934
200,100,3,0.061701935721272354,0.9043605209702982
200,100,5,0.03963352293655293,0.9731646193653194
200,100,10,0.020503731953579768,1.0
400,0,1,0.05554444604960686,0.5445315483780764
400,0,2,0.03865731570380935,0.7020745702601734
400,0,3,0.028549770352521153,0.769712743396954
400,0,5,0.017750393697832507,0.8223443223443223
400,0,10,0.009653594159685634,0.9343528593117408
400,100,1,0.07335130413441217,0.7264061750567423
400,100,2,0.041900987965318034,0.8147396601897454
400,100,3,0.029453462662391273,0.8542133444002717
400,100,5,0.019239004721844623,0.919822586420185
400,100,10,0.009986984656502705,0.9608395989974937
400,200,1,0.07855804474214063,0.7809252968313635
400,200,2,0.04734513450756352,0.91798306395515
400,200,3,0.032540500807565986,0.9425870947325139
400,200,5,0.020485998850687775,1.0
400,200,10,0.010245385037515469,1.0
600,0,1,0.03148408398743075,0.5141123325559857
600,0,2,0.0212027578742497,0.6585511876393412
600,0,3,0.01585368936565151,0.7066597402709202
600,0,5,0.010400650496181798,0.7752616749719261
600,0,10,0.006069982067812285,0.8929378128336053
600,125,1,0.039057667732703354,0.556440530436424
600,125,2,0.024214778456895743,0.7002807846094956
600,125,3,0.016790453893853762,0.7265965740831798
600,125,5,0.01142998099892337,0.8055439425042324
600,125,10,0.0063969486734703415,0.931381740592267
600,300,1,0.050134517322075245,0.7319729766761756
600,300,2,0.028498579204571352,0.8353579852291722
600,300,3,0.020099101489984953,0.8814500117025411
600,300,5,0.01297574868221501,0.9320965150172845
600,300,10,0.006671317978350329,0.9736842105263158
800,0,1,0.02819250732622488,0.4687929231459054
800,0,2,0.017576134055104272,0.6372897046680561
800,0,3,0.012691905723232028,0.7030791783522666
800,0,5,0.00840017823107631,0.7688686520364773
800,0,10,0.0049460342709180625,0.9342105263157895
800,100,1,0.022060855135158337,0.47352713822689213
800,100,2,0.012645690244609853,0.565632401384787
800,100,3,0.009019600400745141,0.6182639803321553
800,100,5,0.00707533333897501,0.7213515741451487
800,100,10,0.0045327483376251644,0.8947368421052632
800,200,1,0.024571217431645892,0.5284287952586505
800,200,2,0.01633682882792102,0.6703118002852094
800,200,3,0.012064039892962373,0.7097854844957358
800,200,5,0.007933961179197462,0.7884195697087681
800,200,10,0.004587091222482906,0.8929378128336053
800,400,1,0.03111627360868773,0.6084115232264901
800,400,2,0.021085997201018534,0.7784660886244295
800,400,3,0.014702243413119914,0.8091864276074802
800,400,5,0.008961485837489444,0.8223443223443223
800,400,10,0.00488149516087325,0.9404520917678812
